datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RTO,RTO,RTO,RTO,79083.837,False
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RTO,RTO,RTO,RTO,77793.949,False
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RTO,RTO,RTO,RTO,76663.734,False
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RTO,RTO,RTO,RTO,76170.524,False
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RTO,RTO,RTO,RTO,76491.775,False
1/1/2025 10:00:00 AM,1/1/2025 5:00:00 AM,RTO,RTO,RTO,RTO,77948.352,False
1/1/2025 11:00:00 AM,1/1/2025 6:00:00 AM,RTO,RTO,RTO,RTO,79972.996,False
1/1/2025 12:00:00 PM,1/1/2025 7:00:00 AM,RTO,RTO,RTO,RTO,81959.197,False
1/1/2025 1:00:00 PM,1/1/2025 8:00:00 AM,RTO,RTO,RTO,RTO,82847.662,False
1/1/2025 2:00:00 PM,1/1/2025 9:00:00 AM,RTO,RTO,RTO,RTO,83684.844,False
1/1/2025 3:00:00 PM,1/1/2025 10:00:00 AM,RTO,RTO,RTO,RTO,85316.729,False
1/1/2025 4:00:00 PM,1/1/2025 11:00:00 AM,RTO,RTO,RTO,RTO,86873.435,False
1/1/2025 5:00:00 PM,1/1/2025 12:00:00 PM,RTO,RTO,RTO,RTO,88094.745,False
1/1/2025 6:00:00 PM,1/1/2025 1:00:00 PM,RTO,RTO,RTO,RTO,88680.001,False
1/1/2025 7:00:00 PM,1/1/2025 2:00:00 PM,RTO,RTO,RTO,RTO,89401.027,False
1/1/2025 8:00:00 PM,1/1/2025 3:00:00 PM,RTO,RTO,RTO,RTO,90537.260,False
1/1/2025 9:00:00 PM,1/1/2025 4:00:00 PM,RTO,RTO,RTO,RTO,93918.301,False
1/1/2025 10:00:00 PM,1/1/2025 5:00:00 PM,RTO,RTO,RTO,RTO,98612.850,False
1/1/2025 11:00:00 PM,1/1/2025 6:00:00 PM,RTO,RTO,RTO,RTO,99387.536,False
1/2/2025 12:00:00 AM,1/1/2025 7:00:00 PM,RTO,RTO,RTO,RTO,98776.576,False
1/2/2025 1:00:00 AM,1/1/2025 8:00:00 PM,RTO,RTO,RTO,RTO,97509.876,False
1/2/2025 2:00:00 AM,1/1/2025 9:00:00 PM,RTO,RTO,RTO,RTO,95731.999,False
1/2/2025 3:00:00 AM,1/1/2025 10:00:00 PM,RTO,RTO,RTO,RTO,92605.786,False
1/2/2025 4:00:00 AM,1/1/2025 11:00:00 PM,RTO,RTO,RTO,RTO,89669.830,False
1/2/2025 5:00:00 AM,1/2/2025 12:00:00 AM,RTO,RTO,RTO,RTO,87488.656,False
1/2/2025 6:00:00 AM,1/2/2025 1:00:00 AM,RTO,RTO,RTO,RTO,86333.078,False
1/2/2025 7:00:00 AM,1/2/2025 2:00:00 AM,RTO,RTO,RTO,RTO,85880.984,False
1/2/2025 8:00:00 AM,1/2/2025 3:00:00 AM,RTO,RTO,RTO,RTO,86278.584,False
1/2/2025 9:00:00 AM,1/2/2025 4:00:00 AM,RTO,RTO,RTO,RTO,88022.761,False
1/2/2025 10:00:00 AM,1/2/2025 5:00:00 AM,RTO,RTO,RTO,RTO,92518.389,False
1/2/2025 11:00:00 AM,1/2/2025 6:00:00 AM,RTO,RTO,RTO,RTO,99122.844,False
1/2/2025 12:00:00 PM,1/2/2025 7:00:00 AM,RTO,RTO,RTO,RTO,104091.905,False
1/2/2025 1:00:00 PM,1/2/2025 8:00:00 AM,RTO,RTO,RTO,RTO,104925.909,False
1/2/2025 2:00:00 PM,1/2/2025 9:00:00 AM,RTO,RTO,RTO,RTO,103323.934,False
1/2/2025 3:00:00 PM,1/2/2025 10:00:00 AM,RTO,RTO,RTO,RTO,102148.891,False
1/2/2025 4:00:00 PM,1/2/2025 11:00:00 AM,RTO,RTO,RTO,RTO,101204.670,False
1/2/2025 5:00:00 PM,1/2/2025 12:00:00 PM,RTO,RTO,RTO,RTO,100851.021,False
1/2/2025 6:00:00 PM,1/2/2025 1:00:00 PM,RTO,RTO,RTO,RTO,100495.184,False
